id,content,label,background
80,不好看,0,该用户可能是在对直播中展示的某款商品或主播的穿搭风格表示不满或失望。
81,上才艺,0,该用户可能在催促主播展示更多吸引人的表演或产品介绍来提升直播趣味性。
82,看着都好吃,1,该用户被直播中展示的商品所吸引，产生了强烈的购买欲望。
83,冬冬好放不开啊,0,该用户觉得主播冬冬表现得比较拘谨或不够自然，希望他能更放松活跃一些。
84,仍火腿肠,1,该用户想表达的含义是：希望直播间再次上架火腿肠商品。
85,20元的会员券不能买榴莲蛋糕,1,该用户可能是在抱怨会员优惠券无法用于购买想要的榴莲蛋糕，暗示对促销规则的不满或希望获得更灵活的折扣使用权限。
86,冬冬一会睡一觉去,0,该用户可能在调侃主播冬冬状态不够活跃，暗示他应该休息调整后再来直播。
87,我怎么看不到人呢,0,该用户可能因直播画面卡顿或主播暂时离开镜头而疑惑为何看不到主播本人。
88,正装好帅,1,该用户被主播展示的正装造型所吸引，认为服装款式或上身效果很有魅力。
89,这个便宜吗怎么没了,1,该用户想表达的是询问商品是否因为价格优惠而售罄。
90,烟熏,0,该用户可能是在询问或评论直播中展示的烟熏口味产品（如香肠、火腿等）的相关信息。
91,今天有公鸡的清洗剂吗,1,该用户是在询问直播间当前是否有售卖专门用于清洗公鸡的清洁产品。
92,炒锅炒锅,1,该用户可能在催促主播展示或上架炒锅产品。
93,hua山,0,该用户可能在询问直播中提到的“华山”相关产品或活动是否还有库存或优惠。
94,不支持配送,1,该用户可能是在询问或抱怨商品无法配送到自己所在的地区。
95,冰冻的,1,该用户可能在询问直播中提到的某款冷冻产品是否还有库存或能否配送。
96,生的还是熟的,1,该用户可能在询问直播中展示的商品是未经加工的原始状态还是已经处理好的成品。
97,明明炫了好多,0,该用户可能是想表达“主播刚才展示了很多商品但都没详细介绍清楚”。  （结合前文弹幕中频繁出现的商品询问、价格疑问和配送问题，可推测用户对直播节奏或信息密度不满，用“炫”暗指快速掠过，“好多”暗示未被满足的购买信息需求。）
98,拍不了,1,该用户可能因商品缺货、操作限制或配送问题导致无法成功下单购买。
99,7万人了,0,该用户想表达的含义是：惊讶于直播间观众人数快速增长，并间接暗示对直播内容的关注和参与感。
100,我买锅能用券吗,1,该用户想询问在当前直播间购买炒锅时是否可以使用优惠券。
101,肉筋,1,该用户可能是在询问或评论直播中展示的肉类产品是否带有筋部部位。
102,给你外甥女拍一单,1,该用户想表达的含义是：打算为亲戚家的孩子下单购买直播间的商品。
103,哈哈哈哈哈,0,该用户可能被直播间的轻松氛围或主播的幽默表现逗乐，用大笑表达对当前直播内容的愉悦感受。
104,万鸟岛,0,该用户可能是在询问直播中提到的某个景点或产品是否与“万鸟岛”相关，或者想确认是否有关于该地点的商品推荐。
105,潮湿牛肉丸还有吗,1,该用户想询问直播间是否还有库存的冷冻牛肉丸商品。
106,牛排可以直接买吗,1,该用户想询问直播中展示的牛排是否支持直接下单购买。
107,讲讲怎样拍视频,1,该用户可能对直播中展示的产品（如炒锅、牛肉丸、牛排等）的拍摄效果或使用方式感兴趣，希望主播演示如何拍摄这些商品的使用视频。
108,泡脚包,1,该用户可能在询问直播间是否有泡脚包产品上架或对其功效和购买方式感兴趣。
109,天黑了,0,该用户可能是在询问商品是否适合在夜间使用或保存，比如担心食材在晚上容易变质，或者想确认产品的使用场景是否受光线影响。
110,哈哈哈哈哈,0,该用户可能被直播间的搞笑互动或主播的幽默表现逗乐，用笑声表达轻松愉快的观看体验。
111,冬冬帅气,0,该用户是在夸赞主播的外貌或表现，以此表达对直播内容的喜爱和支持。
112,哈哈哈哈哈哈哈,0,该用户被直播间的欢乐氛围或主播的幽默表现逗乐，纯粹在表达开心情绪而非购物意向。
113,董宇辉,0,该用户可能在呼唤主播董宇辉的名字，希望他回应或关注自己的提问/需求。
114,能不能申请烤肠用20元券啊,1,该用户想询问是否可以将20元优惠券用于购买烤肠产品。
115,董宇辉930下班休息了,0,该用户可能是在调侃或提醒主播董宇辉的工作时间，暗示他该休息了或者表达对他辛苦工作的关心。
116,第一次买搞了三袋,1,该用户想表达的是自己首次购买就下单了三份产品，显示出较强的购买意愿和行动力。
117,河南拍不了啊,1,该用户想表达的含义是：由于地域限制无法参与当前商品的购买。
118,山东已经天黑了吗,0,该用户可能是在确认直播间的实时情况或地理位置，以判断商品配送或活动是否适用于自己所在地区。
119,怕没熟中毒,0,该用户担心食物没煮熟会导致中毒。
120,买了,1,该用户想表达的含义是：我已经下单购买了商品。
121,M许多钱,1,该用户想询问商品的具体价格。
122,没了再加几单,1,该用户想表达的是担心商品库存不足，希望主播能补货以便自己可以多购买一些。
123,明明来广东吗,0,该用户可能在询问主播是否会前往广东进行直播或活动。
124,小孙是你们总经理,0,该用户可能是在询问或确认直播间中某位高管（小孙）的身份，以判断其发言的权威性或获取更多产品信息。
125,产后可以用不,1,该用户可能是想询问直播中介绍的产品是否适合产后女性使用。
126,有自营蔓越莓原浆了拍了,1,该用户想表达的含义是：发现直播间有自营的蔓越莓原浆后立即下单购买了。
127,萝卜炖虾,1,该用户可能在询问主播推荐的菜品搭配或表达对直播中展示的烹饪方式的兴趣。
128,怎么做的,0,该用户想询问直播中展示的商品（可能是泡脚包或萝卜炖虾等）的具体制作方法或使用步骤。
129,很耐看,1,该用户认为商品外观设计经久不衰，越看越有吸引力。
130,我们这里卖99元一斤,1,该用户可能在对比价格或质疑商品的定价是否合理。
131,换个大冰箱,1,该用户可能是在观看家电类商品展示时，对当前展示的冰箱尺寸不满意，希望主播更换更大容量的冰箱进行介绍或上架销售。
132,今天都是西装啊太帅了,1,该用户被直播间的西装展示所吸引，表达了对产品外观的赞赏和潜在的购买兴趣。
133,冬冬,0,该用户可能在呼唤主播的名字或昵称“冬冬”，试图引起注意或互动。
134,五厘米,0,该用户可能在询问或确认商品的尺寸规格是否为五厘米。
135,七七冬冬你们都是值得我们爱的,0,该用户是在表达对主播“七七”和“冬冬”的喜爱与支持，暗示自己因认可主播而愿意购买其推荐的商品。
136,蒜蓉扇贝,1,该用户可能是在询问或确认直播间正在推销的蒜蓉扇贝产品的相关信息。
137,天咋黑这样,0,该用户可能是在询问或感叹直播画面中的天色异常昏暗，怀疑是否因天气变化或拍摄环境导致。
138,吊带,1,该用户可能是在询问或评论直播中展示的吊带服饰款式或相关信息。
139,哈哈哈哈哈哈哈自夸,0,该用户可能在调侃主播自我夸耀的幽默表现，觉得主播的自夸行为很有趣。
140,合唱首歌再走,0,该用户希望主播能通过合唱互动的方式延长直播时间或增加娱乐氛围，以此表达对直播内容的喜爱和留恋。
141,48一斤,1,该用户是在询问或确认当前直播中商品的价格是否为48元一斤。
142,七宝爱你么么哒,0,该用户是在向主播“七宝”表达喜爱和支持的情感。
143,肉块真大想吃,1,该用户被直播中展示的大块肉类产品所吸引，产生了强烈的购买欲望和食欲冲动。
144,宇辉一讲课就开心,0,该用户想表达的含义是：看到主播宇辉讲解产品时的专业表现感到愉悦和认同。
145,哈哈哈,0,该用户被直播间的欢乐氛围感染，通过简短的笑声表达轻松愉快的情绪。
146,大家去冯冯的抖音号有他跳舞的视频抖音号东方冯冯,0,该用户是在向直播间观众推荐主播的其他社交账号内容，试图引导大家去关注主播的舞蹈视频。
147,想买一个锅,1,该用户被直播内容或产品展示所吸引，产生了明确的购买意向，表达出对当前介绍的锅具类商品有实际购置需求。
148,休息一天老了五岁,0,该用户可能是在调侃主播或产品使用效果，暗示用了产品后休息一天反而显得更年轻（与“老了五岁”形成反讽）。
149,拍了,1,该用户想表达的含义是：我已经下单购买了（直播间提到的某件商品）。
150,受教了,0,该用户想表达的含义是：从主播的讲解或演示中学到了有用的知识，感到受益匪浅。
151,虾什么时候有货,1,该用户是在询问商品库存情况，表达了对直播中虾类产品的购买意向。
152,今天辛苦了,0,该用户想表达的含义是：对主播的辛勤付出表示慰问和感谢。
153,辉辉呢,0,"该用户可能在询问主播""辉辉""的去向或期待其出现，表达了对特定主播的关注和互动需求。"
154,甜虾什么时候有,1,该用户是在询问甜虾产品的补货或上架时间，表达了对该商品的购买意向和关注。
155,刚去看了下冯冯的街舞哈哈,0,该用户是在回应其他观众提到的舞蹈视频话题，表示自己已经去查看了相关视频并感到有趣。
156,营养搭配均衡,1,该用户认为直播中展示的食品或套餐的营养配比科学合理，产生了购买兴趣。
157,有几个档,0,该用户可能是在询问商品的价格或规格分档情况。
158,近亲,0,该用户可能在询问直播商品是否有适合亲友共同购买的优惠组合或家庭装。
159,自营红枣有没有,1,该用户是在询问直播间是否有售卖平台自营的红枣产品。
160,光了,0,该用户想表达的含义是：商品已经卖完了。
161,补货,1,该用户想表达的含义是：催促主播尽快重新上架已售罄的商品。
162,看看5号链接,1,该用户想表达的含义是：我想详细了解5号链接的商品信息。
163,收到你写的书了,0,该用户想表达的含义是：已经下单并收到了主播推荐的书。
164,明明去4号,0,该用户可能在催促主播展示或讲解4号链接的商品，表达了对该产品的购买兴趣或好奇。
165,我可以来应聘试吃的吗,0,该用户可能是以幽默的方式表达对直播产品的兴趣，暗示想参与体验或购买食品类商品。
166,儿子考研我就这样说的,0,该用户想表达的含义是：我儿子考研时我也用同样的方式鼓励过他。 （结合直播间的教育、家庭类话题氛围，用户可能在认同主播的教育理念或分享相似的育儿经验）
167,讲书就兴奋了,0,该用户想表达的含义是：主播一提到书籍相关的内容就情绪高涨、充满热情。
168,用牛肉汤煮意面,1,该用户可能是想询问或建议用直播间销售的牛肉汤产品来烹饪意面，表达了对食材搭配的兴趣或购买意向。
169,俩个优秀的年轻人,0,该用户可能在称赞直播间的两位主播或工作人员表现出色，表达对他们的欣赏和支持。
170,冬冬你说爱我我就买啊,0,该用户以开玩笑的方式表达了对主播的喜爱，并暗示如果主播回应互动就会下单购买。
171,冯老师戴皮套是有女朋友了嘛,0,该用户可能在调侃主播的装扮变化，并借此询问主播的个人感情状况以活跃气氛。
172,小孙老师不是紧张是太疲惫了,0,该用户想表达的含义是：主播看起来状态不佳是因为劳累而非紧张，体现出对主播的关心和观察。
173,自古兵家必不争之地,0,该用户可能是在调侃当前直播间的商品或话题缺乏吸引力，暗示这里没什么值得关注或争抢的内容。
174,前两天才买20块10个,1,该用户想表达的含义是：我最近刚以优惠价格购买了同类产品，暂时不需要再买了。
175,买了特别,1,该用户想表达的含义是：已经下单购买了这款产品。
176,书签什么时候会在上,1,该用户是在询问之前提到的书签商品何时会再次补货上架。
177,晚饭在直播间解决了,0,该用户想表达的含义是：今晚的晚餐就决定购买直播间推荐的商品了。
178,抢光了,1,该用户想表达的含义是：商品已经售罄，希望尽快补货。
179,柿子特别特别好,1,该用户想表达的含义是：对直播中推荐的柿子产品非常满意并强烈推荐。
180,哈哈,0,该用户可能被直播间的轻松氛围或某个幽默互动逗乐，用“哈哈”表达愉悦情绪而非明确的购买意向。
181,趁着工作干饭,0,该用户想表达的含义是：趁着工作间隙看直播放松一下。
182,加油加油加油加油加油加油加油,0,该用户可能在为主播或直播间的活跃氛围加油打气，表达对直播内容的支持与鼓励。
183,5斤怎么存放,1,该用户想表达的含义是：询问购买5斤装商品后的储存方法。
184,冻鱼,1,该用户可能是在询问直播中提到的冷冻鱼类产品的相关信息或表达对这类商品的兴趣。
185,华山以东,0,该用户可能在用地理梗调侃直播间的氛围或产品特点，暗示某种地域性的幽默或对比。
186,七七好会哈哈哈哈,0,该用户是在被主播“七七”的幽默表现逗乐后，用笑声表达对直播氛围的享受和互动参与感。
187,蓝胖奶粉,1,该用户可能在询问或表达对直播中提到的“蓝胖奶粉”这款产品的兴趣或购买意向。
188,拍不了,1,该用户想表达的含义是：当前商品无法成功下单或抢购失败。
189,东方甄选的一帮年轻人真棒,0,该用户是在赞赏直播团队年轻成员的出色表现，并隐含对直播间整体氛围和内容的认可。
190,哇鹏鹏好帅,0,该用户是在表达对主播外貌的赞赏，但并未直接表现出明确的购买意向。
191,烤肠不会做,1,该用户可能是对直播中展示的烤肠产品感兴趣，但担心自己缺乏烹饪技巧而犹豫是否购买。
192,杰西这么早吃晚餐啦,0,该用户可能是在调侃主播的用餐时间与常人不同，同时隐含对直播内容或节奏的关注。
193,酸甜还是纯甜的呀,1,该用户是在询问直播中展示的水果（可能是柿子或其他类似产品）的口味偏向，想了解是偏酸带甜还是完全甜味的，以便决定是否购买。
194,找只活螃蟹玩,1,该用户可能是在以调侃或猎奇的口吻表达对直播中展示的螃蟹商品的兴趣，暗示想购买一只活螃蟹作为宠物或娱乐用途。
195,果冻橙链接,1,该用户想表达的含义是：询问主播果冻橙的购买链接在哪里。
196,头发这样好看,0,该用户可能是对主播的发型或造型表示赞赏，暗示自己也有类似的审美偏好或购买同类发型产品的兴趣。
197,蓬莱阁景区对面有黄渤海分界线,0,该用户可能在分享与直播商品相关的旅游景点信息，暗示对当地特产或旅游产品有兴趣。
198,上衬衣吧,1,该用户希望主播尽快展示或上架衬衫商品以供购买。
199,怎么穿西服,1,该用户可能在询问主播关于西服的穿搭建议或搭配方式。
200,福建,0,该用户可能在询问直播中提到的商品（如海鲜、水果等）是否产自福建或与福建有关。
201,北京不能买,1,该用户想表达的含义是：所在地区不在商品的配送范围内。
202,蒜泥好吃,1,该用户可能是在询问或评价当前直播展示的蒜泥产品的口味，表达对其美味的认可或想了解更多相关信息。
203,快把我哄睡了,0,该用户可能是在调侃直播节奏过于平淡或内容不够吸引人，暗示自己快要看睡着了。
204,河南不发货,1,该用户想表达的含义是：询问或抱怨自己所在的河南地区不在商品配送范围内。
205,买了橙子,1,该用户想表达的含义是：已经下单购买了直播间推荐的橙子产品。
206,巴西产河流,0,该用户可能在询问直播中提到的某款商品（如食品或农产品）是否产自巴西的河流流域地区。
207,好看就算了别盲目跟风,0,该用户是在提醒大家理性消费，不要因为商品外观吸引人就冲动下单。
208,管吃管住,0,该用户可能是在调侃或询问主播是否会提供类似“包吃包住”的福利或优惠活动。
209,确定我儿子和我说的时候我还不相信,0,该用户想表达的含义是：起初对儿子提到的直播内容持怀疑态度，但实际观看后改变了看法。
210,拌饭海苔开袋后保质期多久的,1,该用户想表达的含义是：询问拌饭海苔开封后的食用期限以评估是否适合购买。  （结合前文弹幕中频繁出现的商品细节提问（如果冻橙链接、酸甜口味）、地域发货问题（河南不发货）及食用相关讨论（蒜泥好吃），可推断用户关注点落在产品实际使用层面，且隐含对商品新鲜度和储存条件的顾虑，属于实质性购买意向的试探。）
211,哈哈哈,0,该用户可能是被直播间的轻松氛围或主播的幽默表现逗乐了，用笑声表达愉悦情绪而非购买意向。
212,亲们牛排好吃吗,1,该用户想询问牛排的口感和品质，以判断是否值得购买。
213,大哥你也喝点哈哈哈笑死了,0,该用户可能是在调侃主播或直播间氛围，以轻松玩笑的方式参与互动而非表达购买意向。
214,这个主播真不错,0,该用户是在认可主播的表现风格或带货能力，可能因此对直播内容产生好感并提升购买意愿。
215,董宇辉930下班休息了,0,该用户可能是在调侃主播工作时间过长，暗示直播时间已晚或内容单调让人犯困。
216,白目耳白目耳白目耳白目耳白目耳,1,该用户可能是在用重复的谐音梗调侃或催促主播上架某款商品（如“白木耳”），表达急切或玩笑式的购买意愿。
217,佳慧,0,该用户可能在询问或提及主播或商品相关的名称“佳慧”，可能是想确认主播身份、询问商品信息或表达对某个叫“佳慧”的人/物的兴趣。
218,时尚,0,该用户可能是在评价当前展示的商品或穿搭风格具有潮流感。
219,安徽的不错,0,该用户可能是在对直播中提到的某个安徽产的商品表示认可或产生购买意向。
220,小孙有点累早点休息,0,该用户是在关心主播的身体状况，建议主播提前结束直播去休息。
221,土豆哈哈哈哈哈,1,该用户可能是在用无意义的调侃或跟风刷屏来参与互动，并无实际购买意向。
222,鹏鹏今天好帅呀,0,该用户是在夸赞主播的外表魅力，但并未直接表现出对商品的购买意向。
223,傻不傻,0,该用户可能是在吐槽主播或直播内容显得幼稚或缺乏吸引力。
224,搞的我都饿了,0,该用户被直播内容勾起食欲，间接表达了对展示商品的兴趣或好感。
225,唱歌,0,该用户可能是在调侃或建议主播表演才艺来活跃气氛，而非表达购买意向。
226,爱七七爱东东,0,该用户可能在表达对主播或商品的喜爱和支持，类似于粉丝为偶像打call的应援行为。
227,有面吗,1,该用户可能在询问直播间是否正在介绍或售卖面条类食品。
228,十二星座黑笔什么时候卖,1,该用户是在询问直播间何时会上架销售十二星座主题的黑色中性笔产品。
229,发型一样,0,该用户可能是在调侃主播或某个观众的发型与直播展示的商品/人物形象相似，以此表达对当前画面的注意或幽默互动。
230,南京怎么不配送,1,该用户可能因所在地区无法购买商品而感到失望，暗示希望开通南京地区的配送服务。
231,拍了酱油,1,该用户想表达的含义是：我已经下单购买了酱油。
232,今天收到了非常好吃果特别大一个都吃不了,1,该用户想表达的含义是：对刚收到的水果品质感到惊喜，个头大得超出预期。
233,上点哈尔滨红肠,1,该用户希望主播尽快上架哈尔滨红肠这款商品进行售卖。
234,为什么萝卜跟蜂蜜安徽发不了呢其他的都可以,1,该用户想表达的含义是：对安徽地区无法购买萝卜和蜂蜜这一配送限制感到疑惑，因为其他商品都可以正常下单。
235,负责任的明明,0,该用户可能在称赞主播或品牌方在商品品质或服务方面表现出的可靠性和诚信态度。
236,不要说我买不了,1,该用户想表达的含义是：我也想购买但受限于某些条件无法下单。
237,青岛,0,该用户可能在询问直播间是否有青岛特产或相关商品上架。
238,哈哈哈哈哈哈,0,该用户可能是被直播间的轻松氛围或主播的幽默表现逗乐了，用笑声表达对当前直播内容的愉悦感受。
239,山东,0,该用户可能在询问商品是否支持配送到山东地区。
240,卖货卖货,1,该用户可能在催促主播加快节奏或切换回卖货环节，表达了对购物流程的期待和参与交易的急切心情。
241,鹿出去,0,该用户可能是在催促主播尽快上架或展示商品，表达了对当前直播节奏较慢的不满或急切想看到新品的意愿。
242,正宗的柿子才摘下来不能吃,1,该用户想表达的含义是：刚采摘的新鲜柿子需要经过处理才能食用。
243,我的家乡,0,该用户可能是在询问直播间是否有售卖其家乡的特产或商品。
244,青岛发不了,1,该用户想表达的含义是：询问商品是否支持配送到青岛地区。
245,小孙真是优秀的领导,0,该用户是在夸赞主播小孙的带货能力强、团队管理出色，间接表达了对直播内容的认可和信任。
246,哈哈哈哈哈哈哈哈哈哈哈哈,0,该用户被直播间的轻松氛围或某条有趣的内容逗乐了，用大笑表达愉悦情绪而非购买意向。
247,我们中秋还用芝麻杆打火把呢,0,该用户可能在分享自己家乡的中秋节传统习俗，表达对节日文化的怀旧或自豪感。
248,不需要放油,0,该用户可能在表达对当前直播中展示的某款食品或烹饪产品无需额外添加食用油的意见或建议。
249,大人孩子都可以用是吧,1,该用户是在确认商品是否具备全家适用的通用性，表现出对产品适用范围的潜在购买顾虑。
250,辛苦辛苦了上班路上鹏鹏在直播中午吃饭了鹏鹏还在,0,该用户想表达的含义是：主播鹏鹏从上班时间一直直播到中午都没休息，很辛苦。
251,笑死,0,该用户可能是被直播间的欢乐氛围或主播的幽默表现逗乐了，用“笑死”来表达轻松愉悦的情绪。
252,经典曲奇很好,1,该用户是在称赞直播中展示的经典曲奇产品品质优良，表达了对商品的认可和潜在的购买兴趣。
253,让我渴死吧,0,该用户可能是在用夸张的玩笑表达对当前展示商品的强烈渴望，类似于“这也太诱人了吧，我忍不住想买了”。
254,帅出天际,0,该用户可能是在夸赞主播或产品的外形/表现非常出众，带有兴奋和赞赏的情绪。
